Author,Rating,Helpful_upVotes,Helpful_downVotes,Summary,Review,Compound,Sentiment_label,Negative,Neutral,Positive
falfoster-83249,10.0,117,30,wonderful series,love cast leading supporting amazing story super cute dont understand low rating one best kseries ever imho lot funny scene really hilarious story love true friendship highlight go main protagonist greatlooking charming sarangs best friend mr sarangs grandma samir great show started watching didnt expect get hooked think won change well developed character evolution beautiful witness sarang start proved one memorable character embodying noble value surely needed rarely seen nowadays society,0.9973,positive,0.0,0.389,0.611
davisrobjo-16988,10.0,24,3,hermes,feel good romcom love chemistry love intimidated power people around showed grace time friend made attracted eventually fell love character bitterness changed today society keep preaching kind practicing show showed lot kindness grace able influence people around ignore review reviewer watched two episode show worth kept smiling hermes soundtrack good,0.9864,positive,0.097,0.408,0.495
velmaspruill,10.0,27,4,everything star,loved overthetop comedy heartfelt family tragedy mention chemistry junho yoona credit director writer actor casting crew cameraman others involved refreshing drama fell love didnt want drama end pain wait week see next episode nicely written raunchy keep coming back classyadditional prop wardrobe makeup department made cast look incredible wow part reason star rating everything wanted drama deliveredi want youth backkingtheland,0.9355,positive,0.123,0.594,0.283
davidcowley51,7.0,5,1,could much better,much commend show uncomplicated romancecomedy appears attracted lot negativity many review please pay attention king land far perfect way rating many described found cute many way reminiscent whats wrong secretary kim quite secretary kims appeal went wrong much emphasis long kissing scene many love song interlude say interruption ended making scene repetitiveas many korean show audience take action rather large grain salt refer helicopter rescue scene writer managed thing like even little realistically would made show betterand one point earth male character many korean show wear obvious lipstick director read please stop look ridiculous serf purpose whatever except maybe highlight fashion korea totally unawarefinally big congratulation supporting cast wonderful thats say main cast bad job admirably script given,0.9794,positive,0.132,0.579,0.289
Ro-atthemovies,8.0,48,10,king land,series sweet romance man meeting woman little conflict slowly fall love watching budding romance unfold funny sweet fun lee junho yoona strong lead gum always lighthearted fun watch sometimes might even get butterfly support actor equally good also little inside hotel business fun witness perfect romcom talented attractive actor beautiful location fancy hotel luxury car sweet romance king land well worth time watch,0.9962,positive,0.018,0.375,0.607
AJ_McAninch,7.0,8,4,uneven writing direction,love lead watch every time rest cast worked hard good moment series sweet love scene wonderful scene mother son brought tear junho nailed emotional moment actor know still let eye speak rise moment even bad script drama uneven beginning even without episode offended many viewer clumsy dull ending issue lie right foot writer director shame cast audience deserved much better,0.9266,positive,0.129,0.579,0.292
mhatresakshi,10.0,23,3,heartwarming romcom delight mustwatch kdrama ignore hate towards drama,fantastic romcom reminiscent oldschool kdramas like whats wrong secretary kim simple yet sweet plot hilarious comedy heartwarming moment make mustwatch great chemistry lead strong bond among three girlfriend add awesome touch im yoonah shine impeccable expression timing making every scene enjoyable banter lead get better series progress show deserves solid dont know people didnt like show loved bottom heart give shot make happy sure highly recommended kdrama fan,0.9918,positive,0.059,0.451,0.491
linprak,10.0,108,30,funny relaxing watch,im surprised drama received lot bad view mean whats wrong seriously wrong drama fun watch shown good portrait many hards worker today world havent received back suitable reward well appreciation higher besides everything else run smoothly lead actor actress sweet chemistry done great job make u enjoying love funniest dont like drama think really nothing drama maybe type drama,0.9719,positive,0.148,0.461,0.39
avbcole,10.0,30,5,rating madness,low review quite shocking frankly chemistry main character consuming development love story realistic beautifully told tbh ive repeat last week nice simple love story set backdrop hotel side story complimentary interesting show also extremely funny many laugh loud moment particularly scene including mr grandmother opinion show cast perfectly im new korean drama made lover sure wish could watch first time,0.9886,positive,0.056,0.502,0.443
shavit-84709,7.0,4,2,sweet sometimes slow enjoyable,surprised rating low cute little drama taken seriously simply enjoyable started interesting funny interesting slow development point got slower little less addictive last episode became intriguing loved ending also funny part throughout series actor good job managed move overall heartwarming feelgood optimistic kdrama beautiful people pleasant look recommended people looking something light sweet little exciting patience drama doesnt require much thinking,0.9909,positive,0.038,0.464,0.498
drwhoeze,10.0,62,15,anything epic chemistry lead,series waiting excitedly weekend cheesy romcom lot unrealistic thing going doesnt mean bad actually one best kindking land addictive popular lead chemistry haveits best chemistry ever cloy slow beginning first two eps didnt make like movie instant really got episode cant stop end movie need patience dont quick judge definitely turned epic series,0.942,positive,0.064,0.656,0.28
miza004,6.0,12,15,cute,american first kdrama lot culture shock confusion way episode different style american show ive seen silly sound played enhance comedy really turned first eventually ignored think might cultural outside two lead start liking got cute found smiling watched would say take awhile get good probably around th episode get really cute fun found drawn main actor got better every episode,0.9582,positive,0.087,0.579,0.334
alaningle7,8.0,25,4,herm,im yoonah play cheon sarang hotel worker dedicated job outstanding employee serving king hotel guest work life come goo played leejunho son owner king group owns various business including hotel irresponsible playboy estranged family interest father business series incredibly well acted great supporting cast dealing various problem received criticism two front one rehash many past drama think part appeal aim warm heart nostalgic trope way arab portrayed offended many people awarded one score show displeasure,0.9556,positive,0.104,0.607,0.289
rmward-15413,10.0,112,34,great rom com,junho superb drama sweet endearing romance unfolds scene junho yoona smiling ear ear chemistry yoona fabulous anticipate episode story line simplistic far boy meet girl fall head heel rivalry ml sister starting heat anticipate good plot development upcoming episode first nine episode really great expect remaining episode good tuned one keep good work,0.9837,positive,0.0,0.593,0.407
asmrsatisfyingslimebest,7.0,1,0,okay good,gonna honest even tho stan kpop also stan main lead lee junho im yooah gonna show favoritism okay gonna say bad good okay romantic funny part liked laughed lot dont think good heard gonna k drama excited watched soon released think wasnt worth wait really liked acting chemistry would say one time watch wouldnt say must watch nothing watch try watching opinion doesnt agree opinion maybe liked okay hate anyone acting drama opinion,0.9679,positive,0.109,0.535,0.356
